Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,7466.600098,7497.200195,7461.799805,7486.700195,7486.700195,522719700
2022-11-28,7486.700195,7496.799805,7420.000000,7474.000000,7474.000000,662622600
2022-11-29,7474.000000,7543.100098,7474.000000,7512.000000,7512.000000,714685200
2022-11-30,7512.000000,7599.299805,7512.000000,7573.100098,7573.100098,1394738300
2022-12-01,7573.100098,7599.700195,7552.299805,7558.500000,7558.500000,642843000
2022-12-02,7558.500000,7570.500000,7508.000000,7556.200195,7556.200195,540219900
2022-12-05,7556.200195,7598.200195,7547.799805,7567.500000,7567.500000,509145400
2022-12-06,7567.500000,7567.600098,7521.399902,7521.399902,7521.399902,805368600
2022-12-07,7521.399902,7567.200195,7489.200195,7489.200195,7489.200195,727846100
2022-12-08,7489.200195,7508.000000,7469.100098,7472.200195,7472.200195,637244700
2022-12-09,7472.200195,7498.000000,7431.399902,7476.600098,7476.600098,741398100
2022-12-12,7476.600098,7476.600098,7438.899902,7446.000000,7446.000000,606464000
2022-12-13,7446.000000,7553.399902,7429.000000,7502.899902,7502.899902,688121300
2022-12-14,7502.899902,7504.500000,7461.700195,7495.899902,7495.899902,745004400
2022-12-15,7495.899902,7495.899902,7411.100098,7426.200195,7426.200195,616549200
2022-12-16,7426.200195,7429.299805,7305.700195,7332.100098,7332.100098,1834745500
2022-12-19,7332.100098,7385.399902,7332.100098,7361.299805,7361.299805,517840400
2022-12-20,7361.299805,7389.899902,7302.799805,7370.600098,7370.600098,799491300
2022-12-21,7370.600098,7498.500000,7368.700195,7497.299805,7497.299805,499178500
2022-12-22,7497.299805,7540.299805,7463.500000,7469.299805,7469.299805,402305900
2022-12-23,7469.299805,7496.399902,7462.799805,7473.000000,7473.000000,222853700
2022-12-28,7473.000000,7547.000000,7473.000000,7497.200195,7497.200195,416900400
2022-12-29,7497.200195,7516.399902,7434.600098,7512.700195,7512.700195,351759900
2022-12-30,7512.700195,7512.899902,7451.700195,7451.700195,7451.700195,254135300
2023-01-03,7451.700195,7626.399902,7448.700195,7554.100098,7554.100098,914070400
2023-01-04,7554.100098,7609.299805,7545.200195,7585.200195,7585.200195,753877000
2023-01-05,7585.200195,7658.799805,7564.700195,7633.500000,7633.500000,883850800
2023-01-06,7633.500000,7700.799805,7633.500000,7699.500000,7699.500000,813538800
